Lens ID,Title,Date Published,Publication Year,Publication Type,Source Title,ISSNs,Publisher,Source Country,Author/s,Abstract,Volume,Issue Number,Start Page,End Page,Fields of Study,Keywords,MeSH Terms,Chemicals,Funding,Source URLs,External URL,PMID,DOI,Microsoft Academic ID,PMCID,Citing Patents Count,References,Citing Works Count,Is Open Access,Open Access License,Open Access Colour
028-118-192-356-802,Correction: Ovarian Cancers Harbor Defects in Nonhomologous End Joining Resulting in Resistance to Rucaparib.,2024-08-15,2024,journal article,Clinical cancer research : an official journal of the American Association for Cancer Research,15573265; 10780432,American Association for Cancer Research Inc.,United States,Aiste McCormick; Peter Donoghue; Michelle Dixon; Richard O'Sullivan; Rachel L O'Donnell; James Murray; Angelika Kaufmann; Nicola J Curtin; Richard J Edmondson,,30,16,3640,3640,Ovarian cancer; Non-homologous end joining; Cancer research; Medicine; Biology; Cancer; Genetics; Internal medicine; DNA repair; DNA,,,,,https://aacrjournals.org/clincancerres/article-pdf/30/16/3640/3482640/ccr-24-2051.pdf https://doi.org/10.1158/1078-0432.ccr-24-2051,http://dx.doi.org/10.1158/1078-0432.ccr-24-2051,39143885,10.1158/1078-0432.ccr-24-2051,,,0,036-231-233-715-758,0,true,,bronze
028-149-633-585-806,Editor's Note: Low-Dose Paclitaxel Reduces S100A4 Nuclear Import to Inhibit Invasion and Hematogenous Metastasis of Cholangiocarcinoma.,2024-11-15,2024,journal article,Cancer research,15387445; 00085472,American Association for Cancer Research (AACR),United States,Massimiliano Cadamuro; Gaia Spagnuolo; Luisa Sambado; Stefano Indraccolo; Giorgia Nardo; Antonio Rosato; Simone Brivio; Chiara Caslini; Tommaso Stecca; Marco Massani; Nicolò Bassi; Eugenio Novelli; Carlo Spirli; Luca Fabris; Mario Strazzabosco,,84,22,3909,3909,Paclitaxel; Metastasis; Medicine; Cancer research; Oncology; Internal medicine; Cancer; Pathology,,,,,https://aacrjournals.org/cancerres/article-pdf/84/22/3909/3516781/can-24-3017.pdf https://doi.org/10.1158/0008-5472.can-24-3017,http://dx.doi.org/10.1158/0008-5472.can-24-3017,39544086,10.1158/0008-5472.can-24-3017,,,0,045-283-237-297-806,0,true,,bronze
028-173-870-334-71X,"Cancer screening in the United States, 2015: a review of current American cancer society guidelines and current issues in cancer screening.",2015-01-08,2015,journal article,CA: a cancer journal for clinicians,15424863; 00079235,Wiley,United States,Robert A. Smith; Deana Manassaram-Baptiste; Durado Brooks; Mary Doroshenk; Stacey A. Fedewa; Debbie Saslow; Otis W. Brawley; Richard C. Wender,"Each year, the American Cancer Society (ACS) publishes a summary of its guidelines for early cancer detection along with a report on data and trends in cancer screening rates and select issues related to cancer screening. In this issue of the journal, we summarize current ACS cancer screening guidelines. The latest data on utilization of cancer screening from the National Health Interview Survey (NHIS) also is described, as are several issues related to screening coverage under the Affordable Care Act, including the expansion of the Medicaid program.",65,1,30,54,Cancer; Cancer screening; National Health Interview Survey; Stool test; Medicaid Program; Early Cancer Detection; Health insurance; Mass screening; Family medicine; Medicine,Papanicolaou test; breast radiography; colonoscopy; mass screening; mortality; neoplasms; practice guidelines; prevention and control; prostate-specific antigen test; stool test,Adult; Aged; American Cancer Society; Breast Neoplasms/diagnosis; Colorectal Neoplasms/diagnosis; Early Detection of Cancer/standards; Endometrial Neoplasms/diagnosis; Female; Humans; Lung Neoplasms/diagnosis; Male; Middle Aged; Neoplasms/diagnosis; Practice Guidelines as Topic; Prostatic Neoplasms/diagnosis; United States; Uterine Cervical Neoplasms/diagnosis; Young Adult,,,https://www.ncbi.nlm.nih.gov/pubmed/25581023 https://acsjournals.onlinelibrary.wiley.com/doi/full/10.3322/caac.21261 http://onlinelibrary.wiley.com/doi/10.3322/caac.21261/pdf https://pubmed.ncbi.nlm.nih.gov/25581023/ https://jhu.pure.elsevier.com/en/publications/cancer-screening-in-the-united-states-2015-a-review-of-current-am http://acsjournals.onlinelibrary.wiley.com/doi/10.3322/caac.21261 https://onlinelibrary.wiley.com/doi/10.3322/caac.21261/references http://www.ncbi.nlm.nih.gov/pubmed/25581023. https://onlinelibrary.wiley.com/doi/abs/10.3322/caac.21261 https://onlinelibrary.wiley.com/doi/pdf/10.3322/caac.21261 https://europepmc.org/article/MED/25581023,http://dx.doi.org/10.3322/caac.21261,25581023,10.3322/caac.21261,2916922933,,3,000-403-668-163-253; 000-457-265-737-818; 001-679-481-532-008; 001-988-827-099-010; 004-534-293-113-430; 006-833-630-386-353; 007-086-805-603-090; 007-420-659-912-696; 007-959-339-565-647; 008-171-829-828-561; 009-376-468-715-566; 009-489-455-736-887; 009-903-680-087-263; 010-057-855-480-717; 010-803-478-825-717; 011-378-010-524-080; 011-976-816-068-328; 013-051-219-450-092; 013-139-224-442-181; 013-295-873-771-932; 014-184-379-821-337; 014-516-426-346-320; 015-059-225-422-337; 015-127-024-680-323; 015-516-046-356-822; 015-758-497-626-31X; 015-852-398-596-101; 016-606-391-375-851; 017-059-717-661-484; 017-087-224-807-770; 017-650-793-728-503; 017-816-972-693-876; 018-560-534-042-109; 018-657-918-606-744; 018-913-001-292-333; 019-734-433-575-858; 021-120-017-810-033; 021-971-800-175-380; 023-163-422-822-946; 024-083-899-431-308; 024-192-082-523-163; 024-346-609-612-082; 024-623-012-431-070; 025-758-111-721-035; 025-856-579-084-392; 026-326-058-636-698; 026-676-798-921-232; 026-980-767-429-057; 028-865-768-454-173; 030-172-570-272-243; 030-438-682-971-087; 031-418-097-156-872; 031-503-710-597-008; 031-517-800-981-940; 032-118-830-633-355; 032-155-983-272-936; 032-380-440-518-849; 032-387-893-934-505; 033-707-265-606-689; 034-788-956-973-473; 035-973-327-672-636; 036-242-948-871-723; 036-544-817-868-413; 037-282-900-928-674; 037-334-557-535-727; 038-116-486-276-393; 038-182-229-036-060; 040-161-105-870-917; 042-056-679-387-754; 042-792-352-231-868; 043-303-320-512-012; 047-419-814-260-150; 047-915-330-875-354; 047-924-953-880-955; 048-104-501-723-011; 048-538-322-498-849; 049-244-770-458-130; 049-744-648-790-288; 051-071-340-480-118; 051-255-145-366-551; 052-403-526-079-618; 052-545-629-756-734; 053-920-064-086-152; 056-999-990-836-630; 060-650-973-642-319; 060-762-330-942-971; 060-924-071-701-610; 063-339-312-362-122; 064-003-588-161-10X; 066-344-402-378-326; 067-263-585-861-266; 068-759-512-385-970; 068-844-567-878-787; 068-963-831-455-639; 071-540-787-502-648; 071-841-217-562-787; 072-338-017-884-384; 073-770-204-835-149; 074-808-261-151-306; 078-251-406-747-945; 079-886-088-844-832; 082-150-563-904-424; 084-301-618-460-436; 088-420-108-205-838; 090-270-429-674-521; 091-660-568-685-837; 097-254-602-733-981; 100-229-684-476-350; 100-970-315-055-616; 102-298-424-800-208; 104-775-976-152-159; 104-924-367-994-154; 108-120-205-328-767; 110-977-874-870-021; 115-601-688-641-432; 116-717-016-395-989; 119-689-221-865-816; 120-307-117-783-449; 126-392-016-559-293; 128-918-791-048-650; 138-516-754-263-416; 140-487-039-399-252; 140-802-411-088-635; 141-499-471-133-335; 157-101-274-575-933; 157-928-511-618-382,328,true,,gold
028-402-046-975-582,Editor's Note: miR-153 Supports Colorectal Cancer Progression via Pleiotropic Effects That Enhance Invasion and Chemotherapeutic Resistance.,2022-04-15,2022,journal article,Cancer research,15387445; 00085472,American Association for Cancer Research (AACR),United States,Lei Zhang; Karen Pickard; Veronika Jenei; Marc D Bullock; Amanda Bruce; Richard Mitter; Gavin Kelly; Christos Paraskeva; John Strefford; John Primrose; Gareth J Thomas; Graham Packham; Alex H Mirnezami,"The editors are publishing this note to alert readers to a concern about this article (1). In Fig. 2F, we detected that the graph of flow cytometry data for untransfected SW480 cells without cisplatin treatment was duplicated for the miR-153–transfected SW480 cells without cisplatin treatment.",82,8,1669,1669,Cisplatin; Colorectal cancer; Flow cytometry; Transfection; Cancer research; Biology; Cancer; Medicine; Oncology; Chemotherapy; Internal medicine; Immunology; Cell culture; Genetics,,,,,https://aacrjournals.org/cancerres/article-pdf/82/8/1669/3112834/1669.pdf https://doi.org/10.1158/0008-5472.can-22-0501,http://dx.doi.org/10.1158/0008-5472.can-22-0501,35425964,10.1158/0008-5472.can-22-0501,,,0,010-806-760-930-821,0,true,,bronze
028-464-656-576-953,ImmuneLENS characterizes systemic immune dysregulation in aging and cancer.,2025-02-18,2025,journal article,Nature genetics,15461718; 10614036,Springer Science and Business Media LLC,United Kingdom,Robert Bentham; Thomas P Jones; James R M Black; Carlos Martinez-Ruiz; Michelle Dietzen; Maria Litovchenko; Kerstin Thol; Thomas B K Watkins; Chris Bailey; Oriol Pich; Zhihui Zhang; Peter Van Loo; null null; null null; Charles Swanton; Nicholas McGranahan,"Recognition and elimination of pathogens and cancer cells depend on the adaptive immune system. Thus, accurate quantification of immune subsets is vital for precision medicine. We present immune lymphocyte estimation from nucleotide sequencing (ImmuneLENS), which estimates T cell and B cell fractions, class switching and clonotype diversity from whole-genome sequencing data at depths as low as 5× coverage. By applying ImmuneLENS to the 100,000 Genomes Project, we identify genes enriched with somatic mutations in T cell-rich tumors, significant sex-based differences in circulating T cell fraction and demonstrated that the circulating T cell fraction in patients with cancer is significantly lower than in healthy individuals. Low circulating B cell fraction was linked to increased cancer incidence. Finally, circulating T cell abundance was more prognostic of 5-year cancer survival than infiltrating T cells.",57,3,694,705,Immune dysregulation; Biology; Immune system; Cancer; Immunology; Genetics,Tumour immunology; DNA sequencing; Software; Genetics research,Humans; Neoplasms/immunology; Aging/immunology; Male; Female; T-Lymphocytes/immunology; B-Lymphocytes/immunology; Mutation; Aged; Prognosis,,,,http://dx.doi.org/10.1038/s41588-025-02086-5,39966644,10.1038/s41588-025-02086-5,,PMC11906351,0,002-792-615-313-304; 004-140-331-320-19X; 004-247-389-938-654; 009-794-518-716-869; 010-484-539-626-530; 010-725-246-262-66X; 011-842-550-464-628; 013-137-530-513-33X; 015-050-633-740-464; 015-572-804-148-675; 015-692-190-342-743; 017-906-299-723-033; 018-713-601-180-216; 019-494-383-979-028; 022-737-803-341-920; 023-321-599-456-09X; 024-883-983-430-813; 026-513-925-220-310; 027-150-896-613-372; 029-056-493-452-318; 030-272-597-132-812; 031-456-821-478-985; 032-195-497-711-274; 032-352-267-099-725; 036-139-234-345-507; 039-874-657-553-842; 040-096-843-221-056; 041-901-130-132-008; 042-779-383-186-32X; 052-483-689-156-190; 053-370-563-090-523; 054-367-652-306-954; 054-469-422-223-325; 055-185-492-818-289; 058-962-074-365-443; 062-168-477-721-672; 068-447-166-897-515; 070-279-103-885-535; 073-851-215-550-987; 077-692-269-384-523; 081-153-585-666-639; 084-145-001-998-533; 085-290-711-614-087; 088-793-693-630-844; 098-511-603-204-417; 115-100-193-750-965; 115-812-701-781-422; 116-983-123-938-979; 126-479-456-253-521; 130-156-749-927-161; 132-331-864-980-804; 136-928-107-191-928; 175-526-392-505-334,6,true,cc-by,hybrid
028-833-661-536-527,"""So what will my next cancer be?"" Low-grade brain tumour diagnosed through nurse coordinated surveillance in a patient with Li Fraumeni Syndrome: A Case Report",2025-06-07,2025,preprint,,,Wiley,,Andrew Grant; Meera Warby; Eliza Courtney; Areeba Iqbal; Mandy Ballinger L; * Hunter; Kate Hetherington; Glenn Marshall; Katherine Tucker; Marion Mateos; Marilyn Cruickshank; * Fuentos-Bolanos,,,,,,Li–Fraumeni syndrome; Cancer; Medicine; Internal medicine; Gene; Mutation; Genetics; Biology; Germline mutation,,,,,https://www.authorea.com/doi/pdf/10.22541/au.174928162.27947714/v1 https://doi.org/10.22541/au.174928162.27947714/v1,http://dx.doi.org/10.22541/au.174928162.27947714/v1,,10.22541/au.174928162.27947714/v1,,,0,,0,true,,gold
029-095-762-886-782,Gastric cancer patients at high-risk of having synchronous cancer.,2006-04-28,2006,journal article,World journal of gastroenterology,10079327,Baishideng Publishing Group Inc.,China,Jun Ho Lee; Ja Seong Bae; Keun Won Ryu; Jongmin Lee; Sook Ryun Park; Chan Gyoo Kim; M. C. Kook; Il Ju Choi; Young-Woo Kim; Jae-Gahb Park; Jae Moon Bae,"AIM: To identify patients with a high-risk of having a synchronous cancer among gastric cancer patients.; ; METHODS: We retrospectively analyzed the prospective gastric cancer database at the National Cancer Center, Korea from December 2000 to December 2004. The clinicopathological characteristics of patients with synchronous cancers and those of patients without synchronous cancers were compared. Multivariate analysis was performed to identify the risk factors for the presence of a synchronous cancer in gastric cancer patients.; ; RESULTS: 111 of 3 291 gastric cancer patients (3.4%) registered in the database had a synchronous cancer. Among these 111 patients, 109 had a single synchronous cancer and 2 patients had two synchronous cancers. The most common form of synchronous cancer was colorectal cancer (42 patients, 37.2%) followed by lung cancer (21 patients, 18.6%). Multivariate analyses revealed that elderly patients with differentiated early gastric cancer have a higher probability of a synchronous cancer.; ; CONCLUSION: Synchronous cancers in gastric cancer patients are not infrequent. The physicians should try to find synchronous cancers in gastric cancer patients, especially in the elderly with a differentiated early gastric cancer.",12,16,2588,2592,Cancer; Internal medicine; Retrospective cohort study; Lung cancer; Colonoscopy; Early Gastric Cancer; Synchronous cancer; Multivariate analysis; Colorectal cancer; Medicine; Gastroenterology,Synchronous cancer; Gastric cancer; Colorectal cancer,"Adult; Aged; Colonoscopy; Colorectal Neoplasms/pathology; Female; Humans; Logistic Models; Male; Middle Aged; Neoplasms, Multiple Primary/pathology; Retrospective Studies; Risk Factors; Stomach Neoplasms/pathology",,,https://www.wjgnet.com/1007-9327/full/v12/i16/2588.htm https://europepmc.org/articles/PMC4087994 https://www.ncbi.nlm.nih.gov/pubmed/16688807,http://dx.doi.org/10.3748/wjg.v12.i16.2588,16688807,10.3748/wjg.v12.i16.2588,345509695,PMC4087994,0,001-961-309-775-12X; 003-385-970-718-267; 010-953-603-210-548; 012-930-707-709-627; 014-429-551-825-00X; 021-044-199-516-051; 023-039-376-111-108; 026-500-717-260-358; 031-803-448-428-018; 032-362-041-301-088; 052-261-441-292-128; 054-567-149-077-783; 055-250-396-780-266; 062-350-675-875-542; 064-344-929-225-18X; 065-073-553-531-887; 067-088-908-184-162; 068-047-206-791-772; 074-313-156-524-639; 136-859-170-780-825; 142-797-807-865-217; 149-961-679-904-045; 167-391-306-289-028,91,true,cc-by-nc,hybrid
029-461-137-893-343,Netrin G1 Ligand is a new stromal immunomodulator that promotes pancreatic cancer,2024-05-18,2024,preprint,,,,,Débora B. Vendramini‐Costa; Ralph Francescone; Janusz Franco‐Barraza; Tiffany Luong; Myree Graves; Ariana Musa de Aquino; Nina G. Steele; Jaye C. Gardiner; Sérgio Alexandre Alcântara dos Santos; Charline Ogier; Emily Malloy; Leila Borghaei; Esteban Martı́nez; Dmitry Zhigarev; Yinfei Tan; Hayan Lee; Zhou Yan; Kathy Q. Cai; Andres J. Klein–Szanto; Huamin Wang; Mark Andrake; Roland L. Dunbrack; Kerry S. Campbell; Edna Cukierman,"Here we uncovered the pro-tumor roles of the synaptic protein NGL-1 in the tumor microenvironment of pancreatic cancer, defining a new target that simultaneously modulates tumor cell, fibroblast, and immune cell functions. This study reports a new pathway where NGL-1 controls TGF-β, AP-1 transcription factor members and NFAT1, modulating the immunosuppressive microenvironment in pancreatic cancer. Our findings highlight NGL-1 as a new stromal immunomodulator in pancreatic cancer.",,,,,Pancreatic cancer; Stromal cell; Netrin; Cancer research; Ligand (biochemistry); Chemistry; Cancer; Cell biology; Medicine; Internal medicine; Biology; Receptor; Biochemistry; Axon guidance,,,,,https://www.biorxiv.org/content/biorxiv/early/2024/05/18/2024.05.15.594354.full.pdf http://dx.doi.org/10.1101/2024.05.15.594354,https://www.biorxiv.org/content/biorxiv/early/2024/05/18/2024.05.15.594354.full.pdf,,,,,0,,0,true,cc-by-nc-nd,gold
029-560-450-165-354,Use of genome-wide scan in women with breast cancer to identify common germline variants that may be associated with recurrence,2009-05-20,2009,journal article,Journal of Clinical Oncology,0732183x; 15277755,American Society of Clinical Oncology (ASCO),United States,Elizabeth A. Comen; J. Lautenberger; K. McGee; Tomas Kirchhoff; M. Dean; Clifford A. Hudis; Larry Norton; Kenneth Offit; Bert Gold; Mark E. Robson,11049 Background: Studies of normal DNA variation have identified several common single nucleotide polymorphisms (SNPs) associated with susceptibility to breast cancer. It is not known whether comm...,27,15_suppl,11049,11049,Germline; Internal medicine; Genome; Oncology; Single-nucleotide polymorphism; Breast cancer; Genetics; DNA; Medicine,,,,,http://meeting.ascopubs.org/cgi/content/abstract/27/15S/11049 https://ascopubs.org/doi/abs/10.1200/jco.2009.27.15_suppl.11049,http://dx.doi.org/10.1200/jco.2009.27.15_suppl.11049,,10.1200/jco.2009.27.15_suppl.11049,2332548894,,0,,0,false,,
029-848-515-751-139,The addition of taxanes to adjuvant chemotherapy for lymph node positive (N+) early breast cancer (BC): Institutional practice variation in the National Comprehensive Cancer Network (NCCN),,2005,journal article,Journal of Clinical Oncology,0732183x; 15277755,American Society of Clinical Oncology (ASCO),United States,E. J. Sherman; Eva M Lepisto; Joyce C. Niland; N. Nicotera; Rebecca A. Ottesen; R. L. Theriault; Stephen B. Edge; John W. Wilson; Michael A. Bookman; Jane C. Weeks,654 Background: The addition of adjuvant (ADJ) paclitaxel to N+ BC has been evaluated in 2 large randomized studies. NSABP B28 was first presented in NOV-2000. No survival benefit was reported. In ...,23,16_suppl,654,654,Cancer; Internal medicine; Oncology; Paclitaxel; Adjuvant; Lymph node positive; Gynecology; Adjuvant chemotherapy; Early breast cancer; Survival benefit; Medicine,,,,,https://ascopubs.org/doi/abs/10.1200/jco.2005.23.16_suppl.654,http://dx.doi.org/10.1200/jco.2005.23.16_suppl.654,,10.1200/jco.2005.23.16_suppl.654,2271529427,,0,,1,false,,
029-935-873-558-342,Correction: Alternative Splicing of EZH2 pre-mRNA by SF3B3 Contributes to the Tumorigenic Potential of Renal Cancer.,2022-04-14,2022,journal article,Clinical cancer research : an official journal of the American Association for Cancer Research,15573265; 10780432,American Association for Cancer Research Inc.,United States,Ke Chen; Haibing Xiao; Jin Zeng; Gan Yu; Hui Zhou; Chunhua Huang; Weimin Yao; Wei Xiao; Junhui Hu; Wei Guan; Lily Wu; Jiaoti Huang; Qihong Huang; Hua Xu; Zhangqun Ye,"In the original version of this article (1), errors exist in three figures and two figure legends: the legend for Fig. 2H incorrectly stated that the ACHN cells were “stably transfected” instead of “stably expressing Flag-EZH2, Flag-EZH2D14, or control vector”; Fig. 5C uses the same “merge” picture for EdU+DAPI ACHN-sh-SF3B3-1# and ACHN-sh-SF3B3-2#; Fig. 5E has incorrect “786O invasion” backup images of both the “sh-LacZ” group and the “sh-SF3B3-1#” group; the legend for Fig. 5F did not clarify that both Fig. 2H and Fig. 5F used the same controls; and Supplementary Fig. S9B has incorrect “786O migration/invasion” backup images of both the “sh-SF3B3-1#” group and the “sh-SF3B3-1# + Flag-EZH2” group. These errors have been corrected in the latest online HTML and PDF versions of the article. The authors regret these errors.",28,8,1736,1736,Legend; Regret; Transfection; Molecular biology; Biology; Computer science; Genetics; Cell culture; Art; Literature; Machine learning,,,,,https://aacrjournals.org/clincancerres/article-pdf/28/8/1736/3113291/1736.pdf https://doi.org/10.1158/1078-0432.ccr-22-0563,http://dx.doi.org/10.1158/1078-0432.ccr-22-0563,35419594,10.1158/1078-0432.ccr-22-0563,,,0,046-689-622-753-579,3,true,,bronze
030-194-199-363-825,Correction: The 3D Revolution in Cancer Discovery.,2025-01-13,2025,journal article,Cancer discovery,21598290; 21598274,American Association for Cancer Research (AACR),United States,Linghua Wang; Mingyao Li; Tae Hyun Hwang,,15,1,245,245,Computational biology; Data science; Cancer; Bioinformatics; Biology; Computer science; Genetics,,,,,https://aacrjournals.org/cancerdiscovery/article-pdf/15/1/245/3531737/cd-24-1776.pdf https://doi.org/10.1158/2159-8290.cd-24-1776,http://dx.doi.org/10.1158/2159-8290.cd-24-1776,39801242,10.1158/2159-8290.cd-24-1776,,,0,020-868-146-469-795; 184-537-842-108-281,0,true,,bronze
030-337-819-448-711,A phase II study of the antisense oligonucleotide GTI-2040 plus docetaxel and prednisone as first line treatment in hormone refractory prostate cancer (HRPC),2006-06-20,2006,journal article,Journal of Clinical Oncology,0732183x; 15277755,American Society of Clinical Oncology (ASCO),United States,Srikala S. Sridhar; Christina Canil; S.J. Hotte; Kim N.; Scott Ernst; Gregory R. Pond; C. Dick; James A. Zwiebel; M. J. Moore,"13015 Background: Despite initial responses to chemotherapy, median survival in HRPC remains a dismal 18 mos. Novel therapeutic approaches are clearly needed. The enzyme ribonucleotide reductase (R...",24,18_suppl,13015,13015,Internal medicine; Oncology; Chemotherapy; Prednisone; Docetaxel; Hormone refractory prostate cancer; First line treatment; Antisense oligonucleotides; Phases of clinical research; Ribonucleotide reductase; Medicine,,,,,https://ascopubs.org/doi/10.1200/jco.2006.24.18_suppl.13015,http://dx.doi.org/10.1200/jco.2006.24.18_suppl.13015,,10.1200/jco.2006.24.18_suppl.13015,2534121364,,0,,4,false,,
030-433-339-891-781,Correction: Mesenchymal-Type Neuroblastoma Cells Escape ALK Inhibitors.,2022-07-18,2022,journal article,Cancer research,15387445; 00085472,American Association for Cancer Research (AACR),United States,Ellen M Westerhout; Mohamed Hamdi; Peter Stroeken; Natalia E Nowakowska; Arjan Lakeman; Jennemiek van Arkel; Nancy E Hasselt; Boris Blejlevens; Nurdan Akogul; Franciska Haneveld; Alvin Chan; Peter van Sluis; Danny Zwijnenburg; Richard Volckmann; Carel Jm van Noesel; Igor Adameyko; Tim van Gronigen; Jan Koster; Linda J Valentijn; Johan van Nes; Rogier Versteeg,"In the original version of this article (1), there was an issue in Fig. 2B. Specifically, some of the Western blot bands showing expression of DBH, DLK1, PRRX1, SNAI2, and β-actin in the 691-MES/691-ADRN and SH-EP2/SH-SY5Y isogenic neuroblastoma cell lines were previously used in Fig. 1B of a publication by the authors (2). The legend for Fig. 2 has been updated in the latest online HTML and PDF versions of the article (1) to include a citation to the authors’ earlier article in Nature Genetics (2).",82,14,2657,2657,Neuroblastoma; Western blot; Citation; Mesenchymal stem cell; Biology; Molecular biology; Cancer research; Bioinformatics; Genetics; Cell culture; Computer science; Library science; Gene,,,,,https://aacrjournals.org/cancerres/article-pdf/82/14/2657/3179956/2657.pdf https://doi.org/10.1158/0008-5472.can-22-1915,http://dx.doi.org/10.1158/0008-5472.can-22-1915,35844173,10.1158/0008-5472.can-22-1915,,,0,003-925-262-429-75X; 021-856-026-474-491,0,true,,bronze
030-847-776-141-778,ASO Visual Abstract: The Impact of Perioperative Enteral Immunonutrition on Postoperative Complications in Astrointestinal Cancer Surgery: A Meta-Analysis,2023-03-23,2023,journal article,Annals of Surgical Oncology,10689265; 15344681,Springer Science and Business Media LLC,United States,Ayman Khan; Jean Wong; Bernhard Riedel; Erin Laing; Anna Beaumont; Joseph Kong; Satish Warrier; Alexander Heriot,,30,6,3632,3633,Medicine; Surgical oncology; Perioperative; Meta-analysis; Enteral administration; Cancer surgery; General surgery; Intensive care medicine; Internal medicine; Cancer; Oncology; Surgery; Parenteral nutrition,,,,,,http://dx.doi.org/10.1245/s10434-023-13346-1,,10.1245/s10434-023-13346-1,,,0,,0,false,,
030-954-425-170-239,"Cancer in situ is not ""cancer""",1993-12-01,1993,journal article,Lakartidningen,00237205,Swedish Medical Association,Sweden,Björn Strander,,90,48,4308,4310,Cancer; Carcinoma in situ; In situ; Differential diagnosis; Neoplasm Invasiveness; Cancer research; Medicine,,"Carcinoma in Situ/diagnosis; Diagnosis, Differential; Female; Humans; Neoplasm Invasiveness/diagnosis; Terminology as Topic; Uterine Cervical Neoplasms/diagnosis",,,http://europepmc.org/abstract/MED/8259022 https://www.ncbi.nlm.nih.gov/pubmed/8259022,https://www.ncbi.nlm.nih.gov/pubmed/8259022,8259022,,2396204329,,0,,0,false,,
031-096-623-067-417,Discordance of Microsatellite Instability and Mismatch Repair Immunochemistry Occurs Depending on the Cancer Type,2022-01-01,2022,journal article,SSRN Electronic Journal,15565068,Elsevier BV,,Hiroyuki Matsubayashi; Takuma Oishi; Keiko Sasaki; Masato Abe; Yoshimi Kiyozumi; Satomi Higashigawa; Fumitaka Niiya; Junya Sato; Hirotoshi Ishiwatari; Kenichiro Imai; Kinichi Hotta; Yoshihiro Kishida; Kazunori Takada; Hiroyuki Ono; Kenichiro Yamazaki; Hirofumi Yasui; Hirotsugu Kenmotsu; Nobuhiro Kado; Hiroyasu Kagawa; Akio Shiomi; Teichi Sugiura; Etsuro Bando; Seiichiro Nishimura; Keiichi Hatakeyama; Masakuni Serizawa; Rina Harada; Takashi Sugino,,,,,,Microsatellite instability; Immunochemistry; Instability; Cancer; DNA mismatch repair; Type (biology); Microsatellite; Medicine; Genetics; Biology; Internal medicine; Physics; Immunology; Antibody; Mechanics; Colorectal cancer; Gene; Paleontology; Allele,,,,,,http://dx.doi.org/10.2139/ssrn.4188637,,10.2139/ssrn.4188637,,,0,000-972-768-786-300; 002-442-979-402-893; 003-649-229-337-804; 004-181-610-201-338; 004-340-336-717-651; 011-198-074-729-984; 011-662-315-893-571; 011-978-339-848-821; 014-979-135-238-750; 017-042-700-925-34X; 022-250-145-517-853; 025-082-754-838-539; 025-952-500-234-328; 026-841-874-777-196; 026-921-049-508-586; 027-903-115-722-909; 028-827-992-701-637; 032-920-937-864-557; 033-254-024-440-420; 034-075-423-850-024; 036-039-311-132-356; 048-251-285-435-196; 049-116-774-430-569; 053-869-319-147-594; 054-009-477-578-265; 062-528-908-800-054; 069-465-400-114-351; 072-449-527-177-788; 082-697-167-177-869; 082-735-664-159-199; 084-248-220-833-570; 088-585-669-360-382; 093-302-577-601-722; 094-227-176-569-10X; 104-612-299-327-145; 110-030-602-919-424; 117-203-045-584-939; 119-176-275-664-506; 119-251-284-917-963; 130-057-589-372-246; 135-448-702-718-246,0,true,,green
031-251-206-631-491,Editor's Note: Identification of Existing Drugs That Effectively Target NTRK1 and ROS1 Rearrangements in Lung Cancer.,2025-10-15,2025,journal article,Clinical cancer research : an official journal of the American Association for Cancer Research,15573265; 10780432,American Association for Cancer Research Inc.,United States,Curtis R Chong; Magda Bahcall; Marzia Capelletti; Takayuki Kosaka; Dalia Ercan; Taebo Sim; Lynette M Sholl; Mizuki Nishino; Bruce E Johnson; Nathanael S Gray; Pasi A Jänne,,31,20,4384,4384,,,,,,https://aacrjournals.org/clincancerres/article-pdf/31/20/4384/3657638/ccr-25-3281.pdf https://doi.org/10.1158/1078-0432.ccr-25-3281,http://dx.doi.org/10.1158/1078-0432.ccr-25-3281,41088890,10.1158/1078-0432.ccr-25-3281,,,0,110-290-479-043-455,0,true,,bronze
031-400-456-970-919,IDDF2025-ABS-0211 A multi-omics liquid microarray machine learning system for early diagnosis of postoperative abdominal infection in gastrointestinal tumors,2025-07-04,2025,conference proceedings article,Basic Gastroenterology,,BMJ Publishing Group Ltd and British Society of Gastroenterology,,Yiding Wang; Ting Guo; Xiaofang Xing; Jiafu Ji; Zhouqiao Wu; Ziyu Li,,,,A150,A154,Microarray; Omics; Microarray analysis techniques; Computer science; Medicine; Computational biology; Bioinformatics; Biology; Gene; Gene expression; Biochemistry,,,,,,http://dx.doi.org/10.1136/gutjnl-2025-iddf.88,,10.1136/gutjnl-2025-iddf.88,,,0,,0,false,,
